Symbol,Company,Sector,Founded
MMM,3M,Industrial Conglomerates,"Saint Paul, Minnesota"
AOS,A. O. Smith,Building Products,"Milwaukee, Wisconsin"
ABT,Abbott Laboratories,Health Care Equipment,"North Chicago, Illinois"
ABBV,AbbVie,Biotechnology,"North Chicago, Illinois"
ACN,Accenture,IT Consulting & Other Services,"Dublin, Ireland"
ADBE,Adobe Inc.,Application Software,"San Jose, California"
AMD,Advanced Micro Devices,Semiconductors,"Santa Clara, California"
AES,AES Corporation,Independent Power Producers & Energy Traders,"Arlington, Virginia"
AFL,Aflac,Life & Health Insurance,"Columbus, Georgia"
A,Agilent Technologies,Life Sciences Tools & Services,"Santa Clara, California"
APD,Air Products,Industrial Gases,"Upper Macungie Township, Pennsylvania"
ABNB,Airbnb,"Hotels, Resorts & Cruise Lines","San Francisco, California"
AKAM,Akamai Technologies,Internet Services & Infrastructure,"Cambridge, Massachusetts"
ALB,Albemarle Corporation,Specialty Chemicals,"Charlotte, North Carolina"
ARE,Alexandria Real Estate Equities,Office REITs,"Pasadena, California"
ALGN,Align Technology,Health Care Supplies,"Tempe, Arizona"
ALLE,Allegion,Building Products,"Dublin, Ireland"
LNT,Alliant Energy,Electric Utilities,"Madison, Wisconsin"
ALL,Allstate,Property & Casualty Insurance,"Northbrook, Illinois"
GOOGL,Alphabet Inc. (Class A),Interactive Media & Services,"Mountain View, California"
GOOG,Alphabet Inc. (Class C),Interactive Media & Services,"Mountain View, California"
MO,Altria,Tobacco,"Richmond, Virginia"
AMZN,Amazon,Broadline Retail,"Seattle, Washington"
AMCR,Amcor,Paper & Plastic Packaging Products & Materials,"Warmley, Bristol, United Kingdom"
AEE,Ameren,Multi-Utilities,"St. Louis, Missouri"
AEP,American Electric Power,Electric Utilities,"Columbus, Ohio"
AXP,American Express,Consumer Finance,"New York City, New York"
AIG,American International Group,Multi-line Insurance,"New York City, New York"
AMT,American Tower,Telecom Tower REITs,"Boston, Massachusetts"
AWK,American Water Works,Water Utilities,"Camden, New Jersey"
AMP,Ameriprise Financial,Asset Management & Custody Banks,"Minneapolis, Minnesota"
AME,Ametek,Electrical Components & Equipment,"Berwyn, Pennsylvania"
AMGN,Amgen,Biotechnology,"Thousand Oaks, California"
APH,Amphenol,Electronic Components,"Wallingford, Connecticut"
ADI,Analog Devices,Semiconductors,"Wilmington, Massachusetts"
ANSS,Ansys,Application Software,"Canonsburg, Pennsylvania"
AON,Aon plc,Insurance Brokers,"London, United Kingdom"
APA,APA Corporation,Oil & Gas Exploration & Production,"Houston, Texas"
APO,Apollo Global Management,Asset Management & Custody Banks,"New York City, New York"
AAPL,Apple Inc.,"Technology Hardware, Storage & Peripherals","Cupertino, California"
AMAT,Applied Materials,Semiconductor Materials & Equipment,"Santa Clara, California"
APTV,Aptiv,Automotive Parts & Equipment,"Dublin, Ireland"
ACGL,Arch Capital Group,Property & Casualty Insurance,"Hamilton, Bermuda"
ADM,Archer Daniels Midland,Agricultural Products & Services,"Chicago, Illinois"
ANET,Arista Networks,Communications Equipment,"Santa Clara, California"
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,"Rolling Meadows, Illinois"
AIZ,Assurant,Multi-line Insurance,"Atlanta, Georgia"
T,AT&T,Integrated Telecommunication Services,"Dallas, Texas"
ATO,Atmos Energy,Gas Utilities,"Dallas, Texas"
ADSK,Autodesk,Application Software,"San Francisco, California"
ADP,Automatic Data Processing,Human Resource & Employment Services,"Roseland, New Jersey"
AZO,AutoZone,Automotive Retail,"Memphis, Tennessee"
AVB,AvalonBay Communities,Multi-Family Residential REITs,"Arlington, Virginia"
AVY,Avery Dennison,Paper & Plastic Packaging Products & Materials,"Mentor, Ohio"
AXON,Axon Enterprise,Aerospace & Defense,"Scottsdale, Arizona"
BKR,Baker Hughes,Oil & Gas Equipment & Services,"Houston, Texas"
BALL,Ball Corporation,"Metal, Glass & Plastic Containers","Broomfield, Colorado"
BAC,Bank of America,Diversified Banks,"Charlotte, North Carolina"
BAX,Baxter International,Health Care Equipment,"Deerfield, Illinois"
BDX,Becton Dickinson,Health Care Equipment,"Franklin Lakes, New Jersey"
BRK-B,Berkshire Hathaway,Multi-Sector Holdings,"Omaha, Nebraska"
BBY,Best Buy,Computer & Electronics Retail,"Richfield, Minnesota"
TECH,Bio-Techne,Life Sciences Tools & Services,"Minneapolis, Minnesota"
BIIB,Biogen,Biotechnology,"Cambridge, Massachusetts"
BLK,BlackRock,Asset Management & Custody Banks,"New York City, New York"
BX,Blackstone Inc.,Asset Management & Custody Banks,"New York City, New York"
BK,BNY Mellon,Asset Management & Custody Banks,"New York City, New York"
BA,Boeing,Aerospace & Defense,"Arlington, Virginia"
BKNG,Booking Holdings,"Hotels, Resorts & Cruise Lines","Norwalk, Connecticut"
BSX,Boston Scientific,Health Care Equipment,"Marlborough, Massachusetts"
BMY,Bristol Myers Squibb,Pharmaceuticals,"New York City, New York"
AVGO,Broadcom,Semiconductors,"Palo Alto, California"
BR,Broadridge Financial Solutions,Data Processing & Outsourced Services,"Lake Success, New York"
BRO,Brown & Brown,Insurance Brokers,"Daytona Beach, Florida"
BF-B,Brown–Forman,Distillers & Vintners,"Louisville, Kentucky"
BLDR,Builders FirstSource,Building Products,"Irving, Texas"
BG,Bunge Global,Agricultural Products & Services,"Chesterfield, Missouri"
BXP,"BXP, Inc.",Office REITs,"Boston, Massachusetts"
CHRW,C.H. Robinson,Air Freight & Logistics,"Eden Prairie, Minnesota"
CDNS,Cadence Design Systems,Application Software,"San Jose, California"
CZR,Caesars Entertainment,Casinos & Gaming,"Reno, Nevada"
CPT,Camden Property Trust,Multi-Family Residential REITs,"Houston, Texas"
CPB,Campbell's Company (The),Packaged Foods & Meats,"Camden, New Jersey"
COF,Capital One,Consumer Finance,"Tysons Corner, Virginia"
CAH,Cardinal Health,Health Care Distributors,"Dublin, Ohio"
KMX,CarMax,Automotive Retail,"Richmond, Virginia"
CCL,Carnival,"Hotels, Resorts & Cruise Lines","Miami, Florida"
CARR,Carrier Global,Building Products,"Palm Beach Gardens, Florida"
CAT,Caterpillar Inc.,Construction Machinery & Heavy Transportation Equipment,"Irving, Texas"
CBOE,Cboe Global Markets,Financial Exchanges & Data,"Chicago, Illinois"
CBRE,CBRE Group,Real Estate Services,"Dallas, Texas"
CDW,CDW Corporation,Technology Distributors,"Vernon Hills, Illinois"
COR,Cencora,Health Care Distributors,"Conshohocken, Pennsylvania"
CNC,Centene Corporation,Managed Health Care,"St. Louis, Missouri"
CNP,CenterPoint Energy,Multi-Utilities,"Houston, Texas"
CF,CF Industries,Fertilizers & Agricultural Chemicals,"Deerfield, Illinois"
CRL,Charles River Laboratories,Life Sciences Tools & Services,"Wilmington, Massachusetts"
SCHW,Charles Schwab Corporation,Investment Banking & Brokerage,"Westlake, Texas"
CHTR,Charter Communications,Cable & Satellite,"Stamford, Connecticut"
CVX,Chevron Corporation,Integrated Oil & Gas,"San Ramon, California"
CMG,Chipotle Mexican Grill,Restaurants,"Newport Beach, California"
CB,Chubb Limited,Property & Casualty Insurance,"Zurich, Switzerland"
CHD,Church & Dwight,Household Products,"Ewing, New Jersey"
CI,Cigna,Health Care Services,"Bloomfield, Connecticut"
CINF,Cincinnati Financial,Property & Casualty Insurance,"Fairfield, Ohio"
CTAS,Cintas,Diversified Support Services,"Mason, Ohio"
CSCO,Cisco,Communications Equipment,"San Jose, California"
C,Citigroup,Diversified Banks,"New York City, New York"
CFG,Citizens Financial Group,Regional Banks,"Providence, Rhode Island"
CLX,Clorox,Household Products,"Oakland, California"
CME,CME Group,Financial Exchanges & Data,"Chicago, Illinois"
CMS,CMS Energy,Multi-Utilities,"Jackson, Michigan"
KO,Coca-Cola Company (The),Soft Drinks & Non-alcoholic Beverages,"Atlanta, Georgia"
CTSH,Cognizant,IT Consulting & Other Services,"Teaneck, New Jersey"
CL,Colgate-Palmolive,Household Products,"New York City, New York"
CMCSA,Comcast,Cable & Satellite,"Philadelphia, Pennsylvania"
CAG,Conagra Brands,Packaged Foods & Meats,"Chicago, Illinois"
COP,ConocoPhillips,Oil & Gas Exploration & Production,"Houston, Texas"
ED,Consolidated Edison,Multi-Utilities,"New York City, New York"
STZ,Constellation Brands,Distillers & Vintners,"Rochester, New York"
CEG,Constellation Energy,Electric Utilities,"Baltimore, Maryland"
COO,Cooper Companies (The),Health Care Supplies,"San Ramon, California"
CPRT,Copart,Diversified Support Services,"Dallas, Texas"
GLW,Corning Inc.,Electronic Components,"Corning, New York"
CPAY,Corpay,Transaction & Payment Processing Services,"Atlanta, Georgia"
CTVA,Corteva,Fertilizers & Agricultural Chemicals,"Indianapolis, Indiana"
CSGP,CoStar Group,Real Estate Services,"Washington, D.C."
COST,Costco,Consumer Staples Merchandise Retail,"Issaquah, Washington"
CTRA,Coterra,Oil & Gas Exploration & Production,"Houston, Texas"
CRWD,CrowdStrike,Systems Software,"Austin, Texas"
CCI,Crown Castle,Telecom Tower REITs,"Houston, Texas"
CSX,CSX Corporation,Rail Transportation,"Jacksonville, Florida"
CMI,Cummins,Construction Machinery & Heavy Transportation Equipment,"Columbus, Indiana"
CVS,CVS Health,Health Care Services,"Woonsocket, Rhode Island"
DHR,Danaher Corporation,Life Sciences Tools & Services,"Washington, D.C."
DRI,Darden Restaurants,Restaurants,"Orlando, Florida"
DVA,DaVita,Health Care Services,"Denver, Colorado"
DAY,Dayforce,Human Resource & Employment Services,"Minneapolis, Minnesota"
DECK,Deckers Brands,Footwear,"Goleta, California"
DE,Deere & Company,Agricultural & Farm Machinery,"Moline, Illinois"
DELL,Dell Technologies,"Technology Hardware, Storage & Peripherals","Round Rock, Texas"
DAL,Delta Air Lines,Passenger Airlines,"Atlanta, Georgia"
DVN,Devon Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
DXCM,Dexcom,Health Care Equipment,"San Diego, California"
FANG,Diamondback Energy,Oil & Gas Exploration & Production,"Midland, Texas"
DLR,Digital Realty,Data Center REITs,"Austin, Texas"
DFS,Discover Financial,Consumer Finance,"Riverwoods, Illinois"
DG,Dollar General,Consumer Staples Merchandise Retail,"Goodlettsville, Tennessee"
DLTR,Dollar Tree,Consumer Staples Merchandise Retail,"Chesapeake, Virginia"
D,Dominion Energy,Multi-Utilities,"Richmond, Virginia"
DPZ,Domino's,Restaurants,"Ann Arbor, Michigan"
DASH,DoorDash,Specialized Consumer Services,"San Francisco, California"
DOV,Dover Corporation,Industrial Machinery & Supplies & Components,"Downers Grove, Illinois"
DOW,Dow Inc.,Commodity Chemicals,"Midland, Michigan"
DHI,D. R. Horton,Homebuilding,"Arlington, Texas"
DTE,DTE Energy,Multi-Utilities,"Detroit, Michigan"
DUK,Duke Energy,Electric Utilities,"Charlotte, North Carolina"
DD,DuPont,Specialty Chemicals,"Wilmington, Delaware"
EMN,Eastman Chemical Company,Specialty Chemicals,"Kingsport, Tennessee"
ETN,Eaton Corporation,Electrical Components & Equipment,"Dublin, Ireland"
EBAY,eBay Inc.,Broadline Retail,"San Jose, California"
ECL,Ecolab,Specialty Chemicals,"Saint Paul, Minnesota"
EIX,Edison International,Electric Utilities,"Rosemead, California"
EW,Edwards Lifesciences,Health Care Equipment,"Irvine, California"
EA,Electronic Arts,Interactive Home Entertainment,"Redwood City, California"
ELV,Elevance Health,Managed Health Care,"Indianapolis, Indiana"
EMR,Emerson Electric,Electrical Components & Equipment,"Ferguson, Missouri"
ENPH,Enphase Energy,Semiconductor Materials & Equipment,"Fremont, California"
ETR,Entergy,Electric Utilities,"New Orleans, Louisiana"
EOG,EOG Resources,Oil & Gas Exploration & Production,"Houston, Texas"
EPAM,EPAM Systems,IT Consulting & Other Services,"Newtown, Pennsylvania"
EQT,EQT Corporation,Oil & Gas Exploration & Production,"Pittsburgh, Pennsylvania"
EFX,Equifax,Research & Consulting Services,"Atlanta, Georgia"
EQIX,Equinix,Data Center REITs,"Redwood City, California"
EQR,Equity Residential,Multi-Family Residential REITs,"Chicago, Illinois"
ERIE,Erie Indemnity,Insurance Brokers,"Erie, Pennsylvania"
ESS,Essex Property Trust,Multi-Family Residential REITs,"San Mateo, California"
EL,Estée Lauder Companies (The),Personal Care Products,"New York City, New York"
EG,Everest Group,Reinsurance,"Hamilton, Bermuda"
EVRG,Evergy,Electric Utilities,"Kansas City, Missouri"
ES,Eversource Energy,Electric Utilities,"Hartford, Connecticut"
EXC,Exelon,Electric Utilities,"Chicago, Illinois"
EXE,Expand Energy,Oil & Gas Exploration & Production,"Oklahoma City, Oklahoma"
EXPE,Expedia Group,"Hotels, Resorts & Cruise Lines","Seattle, Washington"
EXPD,Expeditors International,Air Freight & Logistics,"Seattle, Washington"
EXR,Extra Space Storage,Self-Storage REITs,"Salt Lake City, Utah"
XOM,ExxonMobil,Integrated Oil & Gas,"Irving, Texas"
FFIV,"F5, Inc.",Communications Equipment,"Seattle, Washington"
FDS,FactSet,Financial Exchanges & Data,"Norwalk, Connecticut"
FICO,Fair Isaac,Application Software,"Bozeman, Montana"
FAST,Fastenal,Trading Companies & Distributors,"Winona, Minnesota"
FRT,Federal Realty Investment Trust,Retail REITs,"Rockville, Maryland"
FDX,FedEx,Air Freight & Logistics,"Memphis, Tennessee"
FIS,Fidelity National Information Services,Transaction & Payment Processing Services,"Jacksonville, Florida"
FITB,Fifth Third Bancorp,Regional Banks,"Cincinnati, Ohio"
FSLR,First Solar,Semiconductors,"Tempe, Arizona"
FE,FirstEnergy,Electric Utilities,"Akron, Ohio"
FI,Fiserv,Transaction & Payment Processing Services,"Brookfield, Wisconsin"
F,Ford Motor Company,Automobile Manufacturers,"Dearborn, Michigan"
FTNT,Fortinet,Systems Software,"Sunnyvale, California"
FTV,Fortive,Industrial Machinery & Supplies & Components,"Everett, Washington"
FOXA,Fox Corporation (Class A),Broadcasting,"New York City, New York"
FOX,Fox Corporation (Class B),Broadcasting,"New York City, New York"
BEN,Franklin Resources,Asset Management & Custody Banks,"San Mateo, California"
FCX,Freeport-McMoRan,Copper,"Phoenix, Arizona"
GRMN,Garmin,Consumer Electronics,"Schaffhausen, Switzerland"
IT,Gartner,IT Consulting & Other Services,"Stamford, Connecticut"
GE,GE Aerospace,Aerospace & Defense,"Evendale, Ohio"
GEHC,GE HealthCare,Health Care Equipment,"Chicago, Illinois"
GEV,GE Vernova,Heavy Electrical Equipment,"Cambridge, Massachusetts"
GEN,Gen Digital,Systems Software,"Tempe, Arizona"
GNRC,Generac,Electrical Components & Equipment,"Waukesha, Wisconsin"
GD,General Dynamics,Aerospace & Defense,"Falls Church, Virginia"
GIS,General Mills,Packaged Foods & Meats,"Golden Valley, Minnesota"
GM,General Motors,Automobile Manufacturers,"Detroit, Michigan"
GPC,Genuine Parts Company,Distributors,"Atlanta, Georgia"
GILD,Gilead Sciences,Biotechnology,"Foster City, California"
GPN,Global Payments,Transaction & Payment Processing Services,"Atlanta, Georgia"
GL,Globe Life,Life & Health Insurance,"McKinney, Texas"
GDDY,GoDaddy,Internet Services & Infrastructure,"Tempe, Arizona"
GS,Goldman Sachs,Investment Banking & Brokerage,"New York City, New York"
HAL,Halliburton,Oil & Gas Equipment & Services,"Houston, Texas"
HIG,Hartford (The),Property & Casualty Insurance,"Hartford, Connecticut"
HAS,Hasbro,Leisure Products,"Pawtucket, Rhode Island"
